"Time Frame","Date","Ta (°C)","Tm (°C)","I3 (W/m2)","I15 (W/m2)","P (kW)","","",""
"8","3/14/12 8:59 AM","13.51733333333333","19.0395","775.9886666666666","901.3289999999998","660.4251666666664","","",""
"9","3/14/12 9:59 AM","15.236","23.2475","758.3940000000001","857.2481666666666","641.8919","","",""
"10","3/14/12 10:59 AM","16.36316666666667","26.279","490.1110000000002","686.8643333333331","462.4901333333334","","",""
"11","3/14/12 11:59 AM","16.65516666666667","26.50416666666667","444.6458333333331","463.8186666666667","387.2683333333333","","",""
"12","3/14/12 12:59 PM","16.88483333333333","27.09966666666666","288.1035000000001","331.5908333333334","252.5929166666666","","",""
"13","3/14/12 1:59 PM","15.99816666666666","21.59783333333333","210.8798333333334","201.8551666666666","143.2498833333333","","",""
"14","3/14/12 2:59 PM","15.751","19.82133333333333","38.26183333333334","36.33866666666667","20.2161","","",""
"15","3/14/12 3:59 PM","14.98466666666667","16.97983333333334","0","0","1.275300000000001","","",""
"16","3/14/12 4:59 PM","14.3995","15.17266666666667","0","0","0","","",""
"17","3/14/12 5:59 PM","13.0625","10.96966666666667","0","0","0","","",""
"18","3/14/12 6:59 PM","12.25533333333333","9.063666666666666","0","0","0","","",""
"19","3/14/12 7:59 PM","11.097","7.392","0","0","0","","",""
"20","3/14/12 8:59 PM","11.097","7.392","0.009666666666666665","0","0.036","","",""
"21","3/14/12 9:39 PM","11.097","7.392","39.822","42.31249999999998","27.5638","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","3/15/12 3:59 AM","7.7","3","221.1439999999999","252.9226666666666","179.1694166666666","","",""
"4","3/15/12 4:59 AM","7.593666666666667","3.383333333333333","439.5884999999999","542.7303333333334","399.8784999999999","","",""
"5","3/15/12 5:59 AM","8.56","5.536999999999999","632.9361666666666","755.738333333333","577.9113166666667","","",""
"6","3/15/12 6:59 AM","8.655333333333335","5.322666666666668","769.3645000000002","872.6928333333333","683.1893500000001","","",""
"7","3/15/12 7:59 AM","10.66633333333333","10.41833333333333","833.6823333333336","924.8083333333331","713.5769833333331","","",""
"8","3/15/12 8:59 AM","13.59633333333333","18.249","815.2598333333334","912.1384999999998","704.7495666666669","","",""
"9","3/15/12 9:59 AM","15.1565","23.04066666666667","726.5821666666668","743.9213333333333","623.7827666666669","","",""
"10","3/15/12 10:59 AM","16.347","25.81183333333334","618.9606666666665","662.2996666666666","536.4150666666668","","",""
"11","3/15/12 11:59 AM","16.98683333333333","27.9375","435.3849999999997","463.4771666666667","363.9282666666666","","",""
"12","3/15/12 12:59 PM","17.09716666666667","28.67816666666667","228.9478333333334","227.0225","160.8747166666666","","",""
"13","3/15/12 1:59 PM","17.28316666666667","26.045","40.96133333333331","38.19783333333333","22.05161666666666","","",""
"14","3/15/12 2:59 PM","16.97183333333333","23.391","0","0","0.07289999999999999","","",""
"15","3/15/12 3:59 PM","16.4535","20.12416666666667","0","0","0","","",""
"16","3/15/12 4:59 PM","15.18966666666667","16.032","0","0","0","","",""
"17","3/15/12 5:59 PM","13.62683333333333","11.58816666666667","0","0","0","","",""
"18","3/15/12 6:59 PM","12.07316666666667","8.202166666666667","0","0","0","","",""
"19","3/15/12 7:59 PM","11.26266666666667","7.240833333333334","0.08616666666666667","0.1463333333333333","0.1166666666666667","","",""
"20","3/15/12 8:59 PM","10.61166666666667","7.264166666666665","47.47616666666667","81.62450000000003","36.20305","","",""
"21","3/15/12 9:39 PM","9.936249999999999","6.435750000000001","259.6315","332.0709999999999","223.6341333333334","","",""
"22","0","0","0","0","0","0","","",""
"23","0","0","0","0","0","0","","",""
"24","0","0","0","0","0","0","","",""
"1","0","0","0","0","0","0","","",""
"2","0","0","0","0","0","0","","",""
"3","3/16/12 3:59 AM","7.321","3.17","476.1728333333335","559.3581666666665","428.9501333333332","","",""
"4","3/16/12 4:59 AM","7.112833333333334","2.744833333333334","656.5780000000001","768.4429999999999","591.7431166666667","","",""
"5","3/16/12 5:59 AM","6.3295","1.1025","781.6371666666669","897.6339999999997","681.15305","","",""
"6","3/16/12 6:59 AM","6.900333333333333","2.552166666666667","846.1116666666668","947.5071666666669","716.1378666666664","","",""
"7","3/16/12 7:59 AM","10.75716666666666","10.94116666666667","840.2755000000001","924.0171666666665","707.9519","","",""
"8","3/16/12 8:59 AM","14.66083333333334","18.60216666666667","771.2026666666667","831.3533333333334","639.8794500000002","","",""
"9","3/16/12 9:59 AM","16.53783333333333","27.49116666666667","658.1704347826086","705.8486956521739","550.9019782608698","","",""
"10","3/16/12 10:59 AM","17.86816666666667","33.86016666666666","166.8034615384616","160.2961538461538","103.5771153846154","","",""
"11","3/16/12 11:59 AM","18.94583333333333","35.30916666666666","38.67040816326531","36.66142857142858","21.60851020408163","","",""
"12","3/16/12 12:59 PM","19.45116666666667","37.58683333333334","0","0","0.1085","","",""
"13","3/16/12 1:59 PM","19.84916666666667","39.278","0","0","0","","",""
"14","3/16/12 2:39 PM","19.8","34.709","0","0","0","","",""
"16","3/16/12 4:56 PM","17.3104","19.5216","0","0","0","","",""
